family,size,instance_index,method,projection_regime,projection_topology_family,instance_source,problem_seed,instance_manifest,comparison_family,comparison_mode,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,qubo_normalization_scale,normalization_regime,per_constraint_standardization,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projection_target_lambda1_shape,projection_target_lambda2_shape,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,15,13,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,17017794023839422885,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-213749.0,cplex_cache,min,1e-09,105,0.0,1000,0.255,0.0035368586519703015,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",27801.825748577223,per_constraint_standardized_rows_v1,True,16384,52,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,14,unbalanced,unbalanced,,seed_manifest,18421234360130996497,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-225317.0,cplex_cache,min,1e-09,105,0.0,1000,0.261,0.08484934558865953,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",34452.6503449008,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,14,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,18421234360130996497,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-225317.0,cplex_cache,min,1e-09,105,0.0,1000,0.291,0.04929055508461412,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",25763.980168276972,per_constraint_standardized_rows_v1,True,16384,52,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,14,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,18421234360130996497,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-225317.0,cplex_cache,min,1e-09,105,0.0,1000,0.331,0.06250748944819964,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",22755.929964639356,per_constraint_standardized_rows_v1,True,16384,29,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,15,14,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,18421234360130996497,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-225317.0,cplex_cache,min,1e-09,105,0.0,1000,0.267,0.04929055508461412,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",22627.72009406601,per_constraint_standardized_rows_v1,True,16384,52,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,15,unbalanced,unbalanced,,seed_manifest,5967153863442796065,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-243471.0,cplex_cache,min,1e-09,105,0.0,1000,0.413,0.03785666465410665,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",38103.73218564899,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,15,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,5967153863442796065,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-243471.0,cplex_cache,min,1e-09,105,0.0,1000,0.454,0.013623799138295731,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",32388.81008979764,per_constraint_standardized_rows_v1,True,16384,51,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,15,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,5967153863442796065,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-243471.0,cplex_cache,min,1e-09,105,0.0,1000,0.475,0.01978058988544837,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",24503.88681416059,per_constraint_standardized_rows_v1,True,16384,27,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,15,15,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,5967153863442796065,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-243471.0,cplex_cache,min,1e-09,105,0.0,1000,0.446,0.03451335066599308,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",30837.02929501321,per_constraint_standardized_rows_v1,True,16384,52,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,16,unbalanced,unbalanced,,seed_manifest,17381875079276599475,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184378.0,cplex_cache,min,1e-09,105,0.0,1000,0.167,0.05811430864853724,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",35212.084536898765,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,16,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,17381875079276599475,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184378.0,cplex_cache,min,1e-09,105,0.0,1000,0.195,0.08279187321697816,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",29002.216835853258,per_constraint_standardized_rows_v1,True,16384,52,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
mdkp,15,16,projected_chimera_unb_pen,projected_topology,chimera,seed_manifest,17381875079276599475,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184378.0,cplex_cache,min,1e-09,105,0.0,1000,0.233,0.07623469177450672,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",19559.579681410385,per_constraint_standardized_rows_v1,True,16384,27,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,,
mdkp,15,16,projected_zephyr_unb_pen,projected_topology,zephyr,seed_manifest,17381875079276599475,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-184378.0,cplex_cache,min,1e-09,105,0.0,1000,0.184,0.07149985356170475,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",27195.10967813337,per_constraint_standardized_rows_v1,True,16384,52,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,,
mdkp,15,17,unbalanced,unbalanced,,seed_manifest,18037441881929860507,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-185703.0,cplex_cache,min,1e-09,105,0.0,1000,0.204,0.1253399245031044,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",36199.810463385096,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,15,17,projected_pegasus_unb_pen,projected_topology,pegasus,seed_manifest,18037441881929860507,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,logical,15,32768,-185703.0,cplex_cache,min,1e-09,105,0.0,1000,0.233,0.08165726994178878,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",29430.116261261293,per_constraint_standardized_rows_v1,True,16384,52,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,,
