family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_num_reads,sqa_fea,sqa_gap,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_schedule_total_time,sqa_anneal_schedule,projected_sample_size,projected_num_quadratic_couplers,projection_method,comparison_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_global_multiplier,up_lambda0,up_lambda1,up_lambda2
mdkp,5,5,projected_full,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-55644.0,cplex_cache,min,1e-09,10,1.568,1000,0.272,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,31087.890664781866,,,,,,,,,
mdkp,5,5,projected_pegasus,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-55644.0,cplex_cache,min,1e-09,10,1.12,1000,0.236,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,6,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,31935.887545238165,,,,,,,,,
mdkp,5,5,projected_up_support,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-55644.0,cplex_cache,min,1e-09,10,1.28,1000,0.264,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,31099.33186933784,,,,,,,,,
mdkp,5,5,projected_zephyr,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-55644.0,cplex_cache,min,1e-09,10,1.312,1000,0.258,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_zephyr,projected_zephyr,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,31377.253010078846,,,,,,,,,
mdkp,5,5,unbalanced,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-55644.0,cplex_cache,min,1e-09,10,1.184,1000,0.258,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,28278.36010997745,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,6,projected_chimera,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-77435.0,cplex_cache,min,1e-09,10,1.216,1000,0.363,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,35391.60653761151,,,,,,,,,
mdkp,5,6,projected_full,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-77435.0,cplex_cache,min,1e-09,10,0.832,1000,0.329,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,31540.407118791176,,,,,,,,,
mdkp,5,6,projected_pegasus,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-77435.0,cplex_cache,min,1e-09,10,1.088,1000,0.336,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,35875.551164786826,,,,,,,,,
mdkp,5,6,projected_up_support,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-77435.0,cplex_cache,min,1e-09,10,1.376,1000,0.349,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_up_support,projected_up_support,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,31574.812630570425,,,,,,,,,
mdkp,5,6,projected_zephyr,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-77435.0,cplex_cache,min,1e-09,10,1.184,1000,0.37,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_zephyr,projected_zephyr,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,37518.996837991224,,,,,,,,,
mdkp,5,6,unbalanced,seed_manifest,16144312638924495512,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-77435.0,cplex_cache,min,1e-09,10,1.376,1000,0.393,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,30818.276435414216,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,,0.09976860713202618,3.0783967800270744e-05
mdkp,5,7,projected_chimera,seed_manifest,3954490365945053801,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-56797.0,cplex_cache,min,1e-09,10,0.992,1000,0.146,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,4,projected_chimera,projected_chimera,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,31781.522873636575,,,,,,,,,
mdkp,5,7,projected_full,seed_manifest,3954490365945053801,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-56797.0,cplex_cache,min,1e-09,10,0.832,1000,0.108,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,10,projected_full,projected_full,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,25113.84709312303,,,,,,,,,
mdkp,5,7,projected_pegasus,seed_manifest,3954490365945053801,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,pegasus,5,32,-56797.0,cplex_cache,min,1e-09,10,0.736,1000,0.144,0.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",16,7,projected_pegasus,projected_pegasus,q2,,heaviside,fixed,fixed_cli,1,True,0.0,0.063160534953693,per_constraint_standardized_rows_v1,True,34340.925468544316,,,,,,,,,
