hardware_family,hardware_size,family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,optimum_probability_median,optimum_probability_q25,optimum_probability_q75,optimum_probability_mean,optimum_probability_ci95_low,optimum_probability_ci95_high,sqa_energy_gap_median,sqa_energy_gap_q25,sqa_energy_gap_q75,sqa_energy_gap_mean,sqa_energy_gap_ci95_low,sqa_energy_gap_ci95_high,sqa_optimum_rate_median,sqa_optimum_rate_q25,sqa_optimum_rate_q75,sqa_optimum_rate_mean,sqa_optimum_rate_ci95_low,sqa_optimum_rate_ci95_high,mean_chain_break_fraction_median,mean_chain_break_fraction_q25,mean_chain_break_fraction_q75,mean_chain_break_fraction_mean,mean_chain_break_fraction_ci95_low,mean_chain_break_fraction_ci95_high,broken_read_rate_median,broken_read_rate_q25,broken_read_rate_q75,broken_read_rate_mean,broken_read_rate_ci95_low,broken_read_rate_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
pegasus,16,mdkp,15,projected_full,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0745,0.10825,0.09280000000000001,0.0787,0.10785125000000001,0.10222627415501206,0.07337415290360802,0.14691121672063567,0.10451586114109654,0.08173029620568975,0.12607097431661585,0.0,0.0,0.0,0.0,0.0,0.0,0.4488394245229407,0.4095001046948282,0.4585054629103963,0.4314878142999853,0.4126390426863988,0.449100239885075,0.0,0.0,0.0,0.0,0.0,0.0,0.2672333333333333,0.25410000000000005,0.2807833333333334,0.2670666666666667,0.2600865833333334,0.27376350000000005,0.993,0.99075,0.995,0.99225,0.99055,0.99375,0.0,0.0
pegasus,16,mdkp,15,projected_topology,15,20,0.0,0.0,0.0,1.6384,0.0,4.9152000000000005,0.125,0.1025,0.13875,0.12489999999999998,0.10734874999999999,0.14485125,0.07898090879740349,0.04995145878958882,0.11182450846348128,0.08063377452213508,0.06061581691466769,0.10057148192354336,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.4156820468673127,0.39961256013740104,0.43418986084221445,0.41262579604438104,0.3994698066358277,0.425223331442583,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,15,projected_up_support,15,20,0.0,0.0,0.0,1.6384,0.0,4.9152000000000005,0.0885,0.06675,0.11275,0.09265000000000001,0.0777975,0.10925125000000001,0.11339608441057379,0.07413532786460825,0.1398977389102622,0.10713489716463458,0.08293958876878786,0.12984684909131325,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.4191715352133204,0.4025488985679808,0.4588496718646455,0.4313065766659439,0.41198298798172434,0.4518116169284173,0.0,0.0,0.0,5e-05,0.0,0.00015000000000000001,0.2736666666666667,0.2569,0.2773,0.26913,0.26124933333333333,0.27691333333333334,0.991,0.988,0.99425,0.9907999999999999,0.9883999999999998,0.9930499999999999,0.0,0.0
pegasus,16,mdkp,15,unbalanced,15,20,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0645,0.08600000000000001,0.07375,0.06235,0.08499999999999999,0.07170054898656048,0.059056018739299054,0.12064346801709824,0.08816664025483056,0.06746710242037345,0.10956758126901862,0.0,0.0,0.0,0.0,0.0,0.0,0.3870393720951446,0.364103417815811,0.4122759989134376,0.39599385948129756,0.37909246088852805,0.4152227480345398,0.0,0.0,0.0,0.0,0.0,0.0,0.3415,0.3289,0.3533666666666667,0.3454766666666666,0.3348129166666667,0.35661675000000004,0.9984999999999999,0.99775,0.999,0.9982,0.9975000000000002,0.9988499999999998,0.0,0.0
pegasus,16,mdkp,20,projected_full,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.1225,0.099,0.1395,0.13185,0.11070000000000002,0.15650125,0.14658043382172542,0.12388932016551772,0.16896277698473208,0.14569578644685507,0.1301236226174339,0.16121760683328298,0.0,0.0,0.0,0.0,0.0,0.0,0.43814488097871884,0.4239084521956044,0.45193479083945287,0.4396671119538036,0.42981546676486043,0.44974320207778,0.0,0.0,0.0,0.0,0.0,0.0,0.34575,0.3222625,0.3572375,0.346975,0.33456,0.3597600625,1.0,1.0,1.0,0.99975,0.9994999999999999,0.9999500000000001,0.0,0.0
pegasus,16,mdkp,20,projected_topology,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.10450000000000001,0.09075,0.13625,0.1246,0.10164875,0.15190125000000002,0.11455337970572693,0.09694489921972572,0.13339885034252372,0.11488851311018385,0.10242858641138738,0.12798658285369516,0.0,0.0,0.0,0.0,0.0,0.0,0.411612125108653,0.40332466381711585,0.4219640427250018,0.41063933596514984,0.4002687512911693,0.4206007476817155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pegasus,16,mdkp,20,projected_up_support,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.11649999999999999,0.08825,0.1425,0.12345000000000002,0.10304874999999998,0.14760125,0.1112597755598277,0.06619577278431893,0.15663840678426744,0.10923648883487577,0.08569873040526636,0.13292843307682822,0.0,0.0,0.0,0.0,0.0,0.0,0.43025387758649875,0.41212157328625293,0.4456218168532093,0.42575295517085376,0.4144460366893676,0.4362461938525225,0.0,0.0,0.0,0.0,0.0,0.0,0.34035000000000004,0.32375,0.3618125,0.3461275,0.33274618749999996,0.3612524999999999,1.0,0.999,1.0,0.9996499999999999,0.9993999999999998,0.9999,0.0,0.0
pegasus,16,mdkp,20,unbalanced,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.11475,0.17025,0.15100000000000002,0.12829750000000004,0.17604999999999998,0.10368520993437821,0.090761664651159,0.14555429462907996,0.10675002897905758,0.08793536048912752,0.12426506815028718,0.0,0.0,0.0,0.0,0.0,0.0,0.42042194930859833,0.41244115692118805,0.428609705460716,0.422151664761758,0.4123921056482933,0.43280390545376063,0.0,0.0,0.0,0.0,0.0,0.0,0.37035,0.358225,0.3904625,0.3736775,0.35866443749999993,0.3879111874999999,1.0,1.0,1.0,0.99985,0.9997,1.0,0.0,0.0
pegasus,16,mis,8,projected_full,8,20,14.975999999999999,10.688,17.792,15.0144,13.15808,16.9728,0.27249999999999996,0.22975,0.33725,0.27904999999999996,0.24994999999999998,0.30755125,0.0,0.0,0.0,0.0,0.0,0.0,0.058499999999999996,0.04175,0.0695,0.05865,0.05100000000000001,0.06615125,0.23516103386447446,0.2234707134865928,0.2568448394538081,0.23784416358211846,0.22677828021060709,0.24840756238698922,0.058499999999999996,0.04175,0.0695,0.05865,0.051449999999999996,0.06615000000000001,0.06968750000000001,0.05275,0.07378124999999999,0.06638124999999999,0.05900000000000001,0.07433124999999999,0.451,0.36575,0.47125,0.43005000000000004,0.39269875000000004,0.46785,1.0,1.0
pegasus,16,mis,8,projected_topology,8,20,15.232,11.776,19.2,15.603200000000001,13.4656,17.66432,0.33499999999999996,0.2665,0.38125,0.33145,0.30174875,0.3624,0.0,0.0,0.0,0.0,0.0,0.0,0.0595,0.046,0.075,0.060950000000000004,0.05284874999999999,0.06915,0.25392276422764226,0.23735734743335538,0.27221673254281953,0.25153438789981875,0.2396910596781718,0.2631462626531841,0.0595,0.046,0.075,0.060950000000000004,0.05295000000000001,0.06925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
