hardware_family,hardware_size,family,size,instance_index,method,instance_source,problem_seed,instance_manifest,projection_regime,projection_topology_family,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_fea,sqa_gap,optimum_probability,cop,true_optimum_objective,best_feasible_objective,best_feasible_gap,objective_gap,num_feasible_reads,feasible_read_fraction,sqa_num_reads,sqa_num_sweeps,sqa_num_sweeps_per_beta,sqa_chain_strength_fraction,sqa_schedule_id,sqa_schedule_kind,sqa_schedule_anchor_size,sqa_beta_scale,sqa_total_schedule_time,sqa_anneal_schedule,mean_sqa_energy_gap,sqa_optimum_rate,physical_qubits,mean_chain_length,max_chain_length,mean_chain_break_fraction,broken_read_rate,effective_chain_strength,embedded_chain_to_problem_ratio,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_measure_lam,projection_penalty_template,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projected_equality_multiplier,projected_inequality_multiplier,normalization_regime,per_constraint_standardization,qubo_normalization_scale,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_lambda0,up_lambda1,up_lambda2
zephyr,16,mdkp,5,1,unbalanced,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-42940.0,cplex_cache,min,1e-09,10,1.952,0.246,0.0,0.061,1.952,-42940.0,-42940.0,0.0,0.0,246,0.246,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3443082804139639,0.061,6,1.2,2,0.09240000000000001,0.462,0.050610999154228016,0.20244399661691206,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,19016.089656271004,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,1,projected_full,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-42940.0,cplex_cache,min,1e-09,10,0.864,0.167,0.0,0.027,0.864,-42940.0,-42940.0,0.0,0.0,167,0.167,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.4086516766188164,0.027,6,1.2,2,0.063,0.315,0.3554680300919311,1.4218721203677245,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,21372.730578188417,,,,,,,,
zephyr,16,mdkp,5,1,projected_up_support,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-42940.0,cplex_cache,min,1e-09,10,0.96,0.159,0.0,0.03,0.96,-42940.0,-42940.0,0.0,0.0,159,0.159,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.37081564740035095,0.03,7,1.4,2,0.126,0.536,0.35314641527647067,2.9459290358683337,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,21380.41276979316,,,,,,,,
zephyr,16,mdkp,5,1,projected_topology,seed_manifest,10785745343476930448,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,zephyr,5,32,-42940.0,cplex_cache,min,1e-09,10,1.28,0.239,0.0,0.04,1.28,-42940.0,-42940.0,0.0,0.0,239,0.239,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3935269218701584,0.04,5,1.0,1,0.0,0.0,0.0,,16,7,projected_zephyr,projected_zephyr,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.06595109991465173,per_constraint_standardized_rows_v1,True,22005.24193775791,,,,,,,,
chimera,16,mdkp,5,2,unbalanced,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-91144.0,cplex_cache,min,1e-09,10,0.576,0.194,0.0,0.018,0.576,-91144.0,-91144.0,0.0,0.0,194,0.194,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.29623758393877236,0.018,8,1.6,2,0.2798,0.853,0.06139185912069951,0.3846174589692493,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,39825.873621071536,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,2,projected_full,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-91144.0,cplex_cache,min,1e-09,10,0.96,0.228,0.0,0.03,0.96,-91144.0,-91144.0,0.0,0.0,228,0.228,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3483899008470883,0.03,8,1.6,2,0.1724,0.644,0.45724934941803436,1.8289973976721374,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,48041.63511295878,,,,,,,,
chimera,16,mdkp,5,2,projected_up_support,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,projected_up_support,,5,32,-91144.0,cplex_cache,min,1e-09,10,1.824,0.264,0.0,0.057,1.824,-91144.0,-91144.0,0.0,0.0,264,0.264,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3205782923592105,0.057,8,1.6,2,0.1768,0.665,0.4547938217108634,1.8191752868434536,16,10,projected_up_support,projected_up_support,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.1297856319118529,per_constraint_standardized_rows_v1,True,48002.8087148948,,,,,,,,
chimera,16,mdkp,5,2,projected_topology,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,projected_topology,chimera,5,32,-91144.0,cplex_cache,min,1e-09,10,1.728,0.363,0.0,0.054,1.728,-91144.0,-91144.0,0.0,0.0,363,0.363,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.340267627239093,0.054,5,1.0,1,0.0,0.0,0.0,,16,4,projected_chimera,projected_chimera,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.06205693719508509,per_constraint_standardized_rows_v1,True,43537.4574969069,,,,,,,,
pegasus,16,mdkp,5,2,unbalanced,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,unbalanced,,5,32,-91144.0,cplex_cache,min,1e-09,10,2.656,0.38,0.0,0.083,2.656,-91144.0,-91144.0,0.0,0.0,380,0.38,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2856832969921513,0.083,6,1.2,2,0.095,0.475,0.06139185912069951,0.24556743648279805,,,,,,,,,,,,,,per_constraint_standardized_rows_v1,True,39825.873621071536,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,2,projected_full,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,projected_full,,5,32,-91144.0,cplex_cache,min,1e-09,10,1.472,0.343,0.0,0.046,1.472,-91144.0,-91144.0,0.0,0.0,343,0.343,1000,1000,1,1.0,standard_t50,standard,,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3306264600610216,0.046,6,1.2,2,0.0592,0.296,0.45724934941803436,1.8289973976721374,16,10,projected_full,projected_full,q2,0.01,heaviside,fixed,fixed_cli,1,True,0.0,0.13059191396582762,per_constraint_standardized_rows_v1,True,48041.63511295878,,,,,,,,
