hardware_family,hardware_size,family,size,method,n,inst,sqa_cop_median,sqa_cop_q25,sqa_cop_q75,sqa_cop_mean,sqa_cop_ci95_low,sqa_cop_ci95_high,sqa_fea_median,sqa_fea_q25,sqa_fea_q75,sqa_fea_mean,sqa_fea_ci95_low,sqa_fea_ci95_high,sqa_gap_median,sqa_gap_q25,sqa_gap_q75,sqa_gap_mean,sqa_gap_ci95_low,sqa_gap_ci95_high,optimum_probability_median,optimum_probability_q25,optimum_probability_q75,optimum_probability_mean,optimum_probability_ci95_low,optimum_probability_ci95_high,sqa_energy_gap_median,sqa_energy_gap_q25,sqa_energy_gap_q75,sqa_energy_gap_mean,sqa_energy_gap_ci95_low,sqa_energy_gap_ci95_high,sqa_optimum_rate_median,sqa_optimum_rate_q25,sqa_optimum_rate_q75,sqa_optimum_rate_mean,sqa_optimum_rate_ci95_low,sqa_optimum_rate_ci95_high,mean_chain_break_fraction_median,mean_chain_break_fraction_q25,mean_chain_break_fraction_q75,mean_chain_break_fraction_mean,mean_chain_break_fraction_ci95_low,mean_chain_break_fraction_ci95_high,broken_read_rate_median,broken_read_rate_q25,broken_read_rate_q75,broken_read_rate_mean,broken_read_rate_ci95_low,broken_read_rate_ci95_high,sqa_cop_nonzero_rate,sqa_gap_zero_rate
chimera,16,mis,12,projected_topology_unb_pen,12,20,20.48,16.384,40.96,31.948800000000006,21.708800000000004,43.4176,0.1595,0.1465,0.19125,0.17784999999999998,0.15384499999999998,0.20495000000000002,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,0.005,0.004,0.01,0.007800000000000001,0.00525,0.0107,0.31686321533079576,0.30290643156752983,0.34782109287317625,0.3247170265853745,0.3077721277306457,0.34082114899280436,0.005,0.004,0.01,0.007800000000000001,0.005350000000000001,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
chimera,16,mis,12,unbalanced,12,20,34.816,16.384,51.2,37.06880000000001,26.828800000000008,47.7184,0.144,0.11775,0.1885,0.15604999999999997,0.135,0.17895249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.004,0.0125,0.009050000000000002,0.0066,0.011600000000000001,0.2913031533147932,0.2805208837040619,0.31827787398977403,0.2964127737829402,0.28344164932140875,0.3089367914582661,0.0085,0.004,0.0125,0.009050000000000002,0.00655,0.0116,0.012708333333333332,0.0,0.022041666666666664,0.011425,0.007232708333333333,0.015437708333333331,0.14700000000000002,0.0,0.24525,0.12935000000000002,0.08214875,0.17450125,1.0,1.0
chimera,16,mis,16,projected_topology_unb_pen,16,20,65.536,65.536,147.45600000000002,150.73280000000003,81.92,235.92960000000002,0.125,0.1045,0.153,0.13165000000000002,0.11810000000000001,0.14600125,0.0,0.0,0.0,0.024503968253968254,0.005555555555555555,0.04811507936507936,0.001,0.001,0.0022500000000000003,0.0023000000000000004,0.0012000000000000003,0.003551249999999982,0.370778365802526,0.32135416666666666,0.41163194444444445,0.3660723181551954,0.34333357485881505,0.38887737266712946,0.001,0.001,0.0022500000000000003,0.0023000000000000004,0.0012000000000000001,0.00355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
chimera,16,mis,16,unbalanced,16,20,262.144,131.072,393.216,327.68,212.99200000000002,468.58240000000006,0.107,0.098,0.1265,0.11584999999999998,0.10509875,0.12824999999999998,0.0,0.0,0.0,0.005,0.0,0.015000000000000003,0.004,0.002,0.006,0.005,0.0032500000000000003,0.0071,0.2970702465383317,0.2772108843537416,0.3127638243984804,0.29656778711227394,0.2826362579684916,0.310547586553363,0.004,0.002,0.006,0.005,0.0032500000000000003,0.007150000000000001,0.01171875,0.0074062500000000005,0.016953125,0.012990625,0.009753125,0.0164,0.1735,0.11175,0.24175000000000002,0.18725000000000003,0.14604999999999999,0.23185125,1.0,1.0
chimera,16,mis,20,projected_topology_unb_pen,20,20,0.0,0.0,0.0,157.28640000000001,0.0,419.4304,0.0775,0.06275,0.10775,0.08889999999999999,0.0761,0.10410124999999999,0.1,0.09090909090909091,0.11458333333333333,0.10891414141414142,0.08494949494949496,0.13481249999999997,0.0,0.0,0.0,0.00015000000000000001,0.0,0.0004,0.42900196243341737,0.40927637816605716,0.44814854048964214,0.42750394195493735,0.40669351992153185,0.44612305765274013,0.0,0.0,0.0,0.00015000000000000001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimera,16,mis,20,unbalanced,20,20,1572.864,0.0,2097.152,1887.4368000000002,1101.0048000000002,2778.7264,0.109,0.08175,0.148,0.11764999999999999,0.10029749999999998,0.13710249999999996,0.0,0.0,0.08522727272727272,0.02996212121212121,0.01,0.05121212121212121,0.0015,0.0,0.002,0.0018000000000000002,0.0010500000000000002,0.00265,0.32633055768893915,0.31080384846941134,0.3529213793951315,0.3295347014415428,0.31780266365720466,0.34130382846282736,0.0015,0.0,0.002,0.0018000000000000002,0.0010999999999999998,0.0026000000000000003,0.010350000000000002,0.007525,0.017574999999999997,0.012462499999999998,0.009519875,0.015645187499999998,0.186,0.138,0.29725,0.21555,0.17014874999999996,0.26275375,0.7,0.7
pegasus,16,mdkp,5,projected_topology_unb_pen,5,20,1.248,1.016,1.536,1.3024000000000002,1.06396,1.5536,0.271,0.1625,0.36675,0.26764999999999994,0.21579874999999998,0.3203074999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.03175,0.048,0.04070000000000001,0.033350000000000005,0.048150000000000005,0.3322599116760979,0.3099968846480099,0.3529707176976403,0.3348297375431453,0.3156914013670753,0.35307510889398475,0.039,0.03175,0.048,0.04070000000000001,0.03324875000000001,0.04865249999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mdkp,5,unbalanced,5,20,1.328,0.76,1.936,1.4768000000000003,1.0943600000000002,1.8768399999999994,0.2065,0.14775,0.30625,0.23035,0.1812,0.27955125,0.0,0.0,0.0,0.0,0.0,0.0,0.0415,0.02375,0.0605,0.04615000000000001,0.03425,0.059401249999999975,0.2937536856317843,0.2786093495598214,0.3222081363145117,0.30843418315031923,0.28726243808871793,0.33599980824804154,0.0415,0.02375,0.0605,0.04615000000000001,0.03444874999999999,0.05919999999999999,0.0915,0.0882,0.09394999999999999,0.09154,0.08981,0.09335999999999998,0.4575,0.441,0.46975,0.4577000000000001,0.449,0.4665500000000001,1.0,1.0
pegasus,16,mdkp,10,projected_topology_unb_pen,10,20,3.072,1.024,4.096,2.9696000000000007,2.1504000000000003,3.8400000000000007,0.182,0.14225,0.2,0.18305000000000002,0.15535000000000002,0.21400124999999995,0.0,0.0,0.0,0.0010132479806062443,0.0,0.0030397439418187325,0.003,0.001,0.004,0.0029000000000000007,0.0021000000000000003,0.0037500000000000007,0.37578437506615014,0.35755386553163915,0.396830820527478,0.37542520374934873,0.3620444970832251,0.38866101425823996,0.003,0.001,0.004,0.0029000000000000007,0.0021000000000000003,0.0037500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
pegasus,16,mdkp,10,unbalanced,10,20,1.024,0.0,1.024,1.0752000000000002,0.46080000000000004,1.8944000000000003,0.054,0.03275,0.05925,0.0517,0.0417,0.06280124999999998,0.0,0.0,0.06470725812275462,0.03485047779721663,0.013666937658621951,0.06007818523998336,0.001,0.0,0.001,0.0010500000000000002,0.00045000000000000004,0.0018000000000000002,0.3512410231189972,0.3280805843790055,0.3880805916049192,0.3523517119561128,0.3274539966337554,0.37525213684574193,0.001,0.0,0.001,0.0010500000000000002,0.00045000000000000004,0.0018000000000000002,0.2403,0.21944999999999998,0.29095,0.25357,0.23567962499999998,0.272070875,0.956,0.9375,0.97525,0.954,0.9434487499999998,0.9642499999999998,0.55,0.55
