hardware_family,hardware_size,family,size,instance_index,method,projection_regime,projection_topology_family,instance_source,problem_seed,instance_manifest,comparison_family,comparison_mode,num_variables,num_states,reference_optimum_objective,reference_optimum_source,reference_objective_sense,reference_match_tolerance,num_inequality_quadratic_terms,sqa_logical_cop,sqa_fea,sqa_gap,optimum_probability,cop,true_optimum_objective,best_feasible_objective,best_feasible_gap,objective_gap,num_feasible_reads,feasible_read_fraction,sqa_num_reads,sqa_num_sweeps,sqa_num_sweeps_per_beta,sqa_chain_strength_fraction,sqa_schedule_id,sqa_schedule_kind,sqa_beta_scale,sqa_total_schedule_time,sqa_anneal_schedule,mean_sqa_energy_gap,sqa_optimum_rate,physical_qubits,mean_chain_length,max_chain_length,mean_chain_break_fraction,broken_read_rate,effective_chain_strength,embedded_chain_to_problem_ratio,qubo_normalization_scale,normalization_regime,per_constraint_standardization,projected_sample_size,projected_num_quadratic_couplers,projection_method,projection_summary_method,projection_measure,projection_selection_mode,projection_selection_source,projection_candidate_rank,projected_standardize,projection_target,projection_target_lambda1_shape,projection_target_lambda2_shape,projected_equality_multiplier,projected_inequality_multiplier,projected_initializer_equality_multiplier,projected_initializer_inequality_multiplier,up_equality_multiplier,up_inequality_multiplier,up_lambda1_shape,up_lambda2_shape,up_lambda_gauge,up_lambda0,up_lambda1,up_lambda2
chimera,16,mdkp,5,2,unbalanced,unbalanced,,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,0.576,0.194,0.0,0.018,0.576,-91144.0,-91144.0,0.0,0.0,194,0.194,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.29623758393877236,0.018,8,1.6,2,0.2798,0.853,0.06139185912069951,0.3846174589692493,39825.873621071536,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,2,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,2.304,0.408,0.0,0.072,2.304,-91144.0,-91144.0,0.0,0.0,408,0.408,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3098566930502562,0.072,5,1.0,1,0.0,0.0,0.0,,46233.47796797039,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,2,unbalanced,unbalanced,,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,2.656,0.38,0.0,0.083,2.656,-91144.0,-91144.0,0.0,0.0,380,0.38,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2856832969921513,0.083,6,1.2,2,0.095,0.475,0.06139185912069951,0.24556743648279805,39825.873621071536,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,2,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,1.088,0.394,0.0,0.034,1.088,-91144.0,-91144.0,0.0,0.0,394,0.394,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.35231912261558773,0.034,5,1.0,1,0.0,0.0,0.0,,47414.48392206417,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
zephyr,16,mdkp,5,2,unbalanced,unbalanced,,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,1.92,0.395,0.0,0.06,1.92,-91144.0,-91144.0,0.0,0.0,395,0.395,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.29419380321249894,0.06,6,1.2,2,0.08259999999999999,0.413,0.06139185912069951,0.3846174589692493,39825.873621071536,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,2,projected_topology_unb_pen,projected_topology,zephyr,seed_manifest,10483601183354089552,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-91144.0,cplex_cache,min,1e-09,10,1.312,0.379,0.0,0.041,1.312,-91144.0,-91144.0,0.0,0.0,379,0.379,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3324544048363725,0.041,5,1.0,1,0.0,0.0,0.0,,47163.74941004341,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,
chimera,16,mdkp,5,3,unbalanced,unbalanced,,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.096,0.03,0.0,0.003,0.096,-41118.0,-41118.0,0.0,0.0,30,0.03,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.35333917019310274,0.003,8,1.6,2,0.2656,0.824,0.06639684303692985,0.2655873721477194,33141.0722778645,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,3,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.768,0.081,0.0,0.024,0.768,-41118.0,-41118.0,0.0,0.0,81,0.081,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3266224458484134,0.024,5,1.0,1,0.0,0.0,0.0,,31296.727340884183,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,3,unbalanced,unbalanced,,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.64,0.063,0.0,0.02,0.64,-41118.0,-41118.0,0.0,0.0,63,0.063,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3210693652106172,0.02,6,1.2,2,0.0856,0.428,0.06639684303692985,0.3284421123345215,33141.0722778645,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,3,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.672,0.094,0.0,0.021,0.672,-41118.0,-41118.0,0.0,0.0,94,0.094,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2966286442858281,0.021,5,1.0,1,0.0,0.0,0.0,,32815.957064424656,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
zephyr,16,mdkp,5,3,unbalanced,unbalanced,,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.64,0.056,0.0,0.02,0.64,-41118.0,-41118.0,0.0,0.0,56,0.056,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2678271768360051,0.02,6,1.2,2,0.08839999999999999,0.442,0.06639684303692985,0.3284421123345215,33141.0722778645,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,3,projected_topology_unb_pen,projected_topology,zephyr,seed_manifest,3788602488723516016,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-41118.0,cplex_cache,min,1e-09,10,0.704,0.081,0.0,0.022,0.704,-41118.0,-41118.0,0.0,0.0,81,0.081,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.30989521875913884,0.022,5,1.0,1,0.0,0.0,0.0,,31092.32662237208,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,
chimera,16,mdkp,5,4,unbalanced,unbalanced,,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.288,0.066,0.0,0.009,0.288,-48834.0,-48834.0,0.0,0.0,66,0.066,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.17544004984108189,0.009,8,1.6,2,0.2698000000000001,0.845,0.07960804144130053,0.4114024896458649,32790.65573694827,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,4,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.672,0.111,0.0,0.021,0.672,-48834.0,-48834.0,0.0,0.0,111,0.111,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.2560837652986565,0.021,5,1.0,1,0.0,0.0,0.0,,30393.217168565818,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,4,unbalanced,unbalanced,,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.512,0.094,0.0,0.016,0.512,-48834.0,-48834.0,0.0,0.0,94,0.094,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.21562170235421954,0.016,6,1.2,2,0.09779999999999998,0.489,0.07960804144130053,0.3184321657652021,32790.65573694827,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,4,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.512,0.126,0.0,0.016,0.512,-48834.0,-48834.0,0.0,0.0,126,0.126,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.22204865072539234,0.016,5,1.0,1,0.0,0.0,0.0,,30397.74412201595,per_constraint_standardized_rows_v1,True,16,7,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
zephyr,16,mdkp,5,4,unbalanced,unbalanced,,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.864,0.127,0.0,0.027,0.864,-48834.0,-48834.0,0.0,0.0,127,0.127,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.22377158163006988,0.027,6,1.2,2,0.0962,0.481,0.07960804144130053,0.3184321657652021,32790.65573694827,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
zephyr,16,mdkp,5,4,projected_topology_unb_pen,projected_topology,zephyr,seed_manifest,12722601104956220217,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-48834.0,cplex_cache,min,1e-09,10,0.608,0.131,0.0,0.019,0.608,-48834.0,-48834.0,0.0,0.0,131,0.131,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.23929814260931334,0.019,5,1.0,1,0.0,0.0,0.0,,33032.995552130735,per_constraint_standardized_rows_v1,True,16,7,projected_zephyr,projected_zephyr,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09623519688008812,,0.09979939109982645,,,,,,,,
chimera,16,mdkp,5,5,unbalanced,unbalanced,,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-55644.0,cplex_cache,min,1e-09,10,2.912,0.199,0.0,0.091,2.912,-55644.0,-55644.0,0.0,0.0,199,0.199,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.1993334149722084,0.091,8,1.6,2,0.2738,0.82,0.05031481690946394,0.20125926763785576,28278.36010997745,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
chimera,16,mdkp,5,5,projected_topology_unb_pen,projected_topology,chimera,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-55644.0,cplex_cache,min,1e-09,10,1.248,0.225,0.0,0.039,1.248,-55644.0,-55644.0,0.0,0.0,225,0.225,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.30448749590651686,0.039,5,1.0,1,0.0,0.0,0.0,,28497.884755814935,per_constraint_standardized_rows_v1,True,16,4,projected_chimera,projected_chimera,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09141027741879015,,0.09979939109982645,,,,,,,,
pegasus,16,mdkp,5,5,unbalanced,unbalanced,,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-55644.0,cplex_cache,min,1e-09,10,1.312,0.192,0.0,0.041,1.312,-55644.0,-55644.0,0.0,0.0,192,0.192,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.32562444962619513,0.041,6,1.2,2,0.08879999999999998,0.444,0.05031481690946394,0.20125926763785576,28278.36010997745,per_constraint_standardized_rows_v1,True,,,,,,,,,,,,,,,,,,0.09979939109982645,0.9996915415268468,0.00030845847315319214,sum_to_one,,0.09976860713202618,3.0783967800270744e-05
pegasus,16,mdkp,5,5,projected_topology_unb_pen,projected_topology,pegasus,seed_manifest,1484739022619714587,experiments/manifests/shared_eval_seed_manifest.csv,compare_up_projection,embedding,5,32,-55644.0,cplex_cache,min,1e-09,10,1.248,0.272,0.0,0.039,1.248,-55644.0,-55644.0,0.0,0.0,272,0.272,1000,1000,1,1.0,standard_t50,standard,1.0,50.0,"[[0.0,0.0],[50.0,1.0]]",0.3043996604464516,0.039,5,1.0,1,0.0,0.0,0.0,,29551.171741201208,per_constraint_standardized_rows_v1,True,16,6,projected_pegasus,projected_pegasus,q2,fixed,fixed_cli,1,True,raw_tuned_unbalanced_row,0.9996915415268468,0.00030845847315319214,0.0,0.09309059908302675,,0.09979939109982645,,,,,,,,
