hardware_family,hardware_size,family,size,method,n,stat,inst,sqa_cop,sqa_fea,sqa_gap,optimum_probability,sqa_energy_gap,sqa_optimum_rate,mean_chain_break_fraction,broken_read_rate
chimera,16,mis,20,projected_topology_unb_pen,20,std,20,500.1388760324877,0.03178033983455809,0.055874663193079814,0.0004769696007084729,0.044244924943634925,0.0004769696007084729,0.0,0.0
chimera,16,mis,20,unbalanced,20,mean,20,1887.4368000000002,0.11764999999999999,0.02996212121212121,0.0018000000000000002,0.3295347014415428,0.0018000000000000002,0.012462499999999998,0.21555
chimera,16,mis,20,unbalanced,20,std,20,1893.2532600129757,0.041008870991530604,0.04630298754063549,0.001805547008526779,0.026434442763747346,0.001805547008526779,0.006855834650135605,0.10589734415933197
pegasus,16,mdkp,5,projected_topology_unb_pen,5,mean,20,1.3024000000000002,0.26764999999999994,0.0,0.04070000000000001,0.3348297375431453,0.04070000000000001,0.0,0.0
pegasus,16,mdkp,5,projected_topology_unb_pen,5,std,20,0.5586818772790112,0.11859775503777464,0.0,0.0174588086649691,0.04283374855422178,0.0174588086649691,0.0,0.0
pegasus,16,mdkp,5,unbalanced,5,mean,20,1.4768000000000003,0.23035,0.0,0.04615000000000001,0.30843418315031923,0.04615000000000001,0.09154,0.4577000000000001
pegasus,16,mdkp,5,unbalanced,5,std,20,0.9036402824133064,0.11611428637338303,0.0,0.028238758825415825,0.056282860322819796,0.028238758825415825,0.0040135271271040385,0.020067635635520192
pegasus,16,mdkp,10,projected_topology_unb_pen,10,mean,20,2.9696000000000007,0.18305000000000002,0.0010132479806062443,0.0029000000000000007,0.37542520374934873,0.0029000000000000007,0.0,0.0
pegasus,16,mdkp,10,projected_topology_unb_pen,10,std,20,1.940203040921233,0.06627705108104916,0.004416645552209279,0.0018947295321496416,0.03065717539971782,0.0018947295321496416,0.0,0.0
pegasus,16,mdkp,10,unbalanced,10,mean,20,1.0752000000000002,0.0517,0.03485047779721663,0.0010500000000000002,0.3523517119561128,0.0010500000000000002,0.25357,0.954
pegasus,16,mdkp,10,unbalanced,10,std,20,1.6343951052300665,0.02445219826518671,0.05402805552141703,0.0015960889699512368,0.05498287538244569,0.0015960889699512368,0.0421078745604667,0.024114311103574974
pegasus,16,mdkp,15,projected_topology_unb_pen,15,mean,20,6.5536,0.26465,0.029179087612318307,0.0002,0.39364928830585233,0.0002,0.0,0.0
